GO	GO_Desc	Count
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	3
GO:0016757	glycosyltransferase activity	3
GO:0019888	protein phosphatase regulator activity	3
GO:0030598	rRNA N-glycosylase activity	3
GO:0033907	beta-D-fucosidase activity	3
GO:0043565	sequence-specific DNA binding	3
GO:0045735	nutrient reservoir activity	3
GO:0051119	sugar transmembrane transporter activity	3
GO:0140658	ATP-dependent chromatin remodeler activity	3
GO:1990817	poly(A) RNA polymerase activity	3
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	2
GO:0003680	minor groove of adenine-thymine-rich DNA binding	2
GO:0003682	chromatin binding	2
GO:0003690	double-stranded DNA binding	2
GO:0003743	translation initiation factor activity	2
GO:0003774	cytoskeletal motor activity	2
GO:0003777	microtubule motor activity	2
GO:0003779	actin binding	2
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	2
GO:0003984	acetolactate synthase activity	2
GO:0004222	metalloendopeptidase activity	2
GO:0004407	histone deacetylase activity	2
GO:0004499	N,N-dimethylaniline monooxygenase activity	2
GO:0004867	serine-type endopeptidase inhibitor activity	2
GO:0005315	phosphate transmembrane transporter activity	2
GO:0005516	calmodulin binding	2
GO:0005544	calcium-dependent phospholipid binding	2
GO:0005546	phosphatidylinositol-4,5-bisphosphate binding	2
GO:0008047	enzyme activator activity	2
GO:0008146	sulfotransferase activity	2
GO:0008194	UDP-glycosyltransferase activity	2
GO:0008234	cysteine-type peptidase activity	2
GO:0008320	protein transmembrane transporter activity	2
GO:0008374	O-acyltransferase activity	2
GO:0008889	glycerophosphodiester phosphodiesterase activity	2
GO:0009055	electron transfer activity	2
GO:0010333	terpene synthase activity	2
GO:0010945	coenzyme A diphosphatase activity	2
GO:0015079	potassium ion transmembrane transporter activity	2
GO:0015267	channel activity	2
GO:0015276	ligand-gated monoatomic ion channel activity	2
GO:0016929	deSUMOylase activity	2
GO:0017018	myosin phosphatase activity	2
GO:0019166	trans-2-enoyl-CoA reductase (NADPH) activity	2
GO:0019901	protein kinase binding	2
GO:0030170	pyridoxal phosphate binding	2
GO:0030527	structural constituent of chromatin	2
GO:0031492	nucleosomal DNA binding	2
GO:0031625	ubiquitin protein ligase binding	2
GO:0042393	histone binding	2
GO:0042500	aspartic endopeptidase activity, intramembrane cleaving	2
GO:0042626	ATPase-coupled transmembrane transporter activity	2
GO:0042973	glucan endo-1,3-beta-D-glucosidase activity	2
GO:0045300	stearoyl-[ACP] desaturase activity	2
GO:0046873	metal ion transmembrane transporter activity	2
GO:0047627	adenylylsulfatase activity	2
GO:0050661	NADP binding	2
GO:0051082	unfolded protein binding	2
GO:0051287	NAD binding	2
GO:0051537	2 iron, 2 sulfur cluster binding	2
GO:0051539	4 iron, 4 sulfur cluster binding	2
GO:0061711	N(6)-L-threonylcarbamoyladenine synthase activity	2
GO:0080043	quercetin 3-O-glucosyltransferase activity	2
GO:0080044	quercetin 7-O-glucosyltransferase activity	2
GO:1905761	SCF ubiquitin ligase complex binding	2
GO:0000166	nucleotide binding	1
GO:0000175	3'-5'-RNA exonuclease activity	1
GO:0001181	RNA polymerase I general transcription initiation factor activity	1
GO:0003688	DNA replication origin binding	1
GO:0003689	DNA clamp loader activity	1
GO:0003697	single-stranded DNA binding	1
GO:0003712	transcription coregulator activity	1
GO:0003724	RNA helicase activity	1
GO:0003725	double-stranded RNA binding	1
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	1
GO:0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity	1
GO:0003883	CTP synthase activity	1
GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	1
GO:0003962	cystathionine gamma-synthase activity	1
GO:0003979	UDP-glucose 6-dehydrogenase activity	1
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	1
GO:0004000	adenosine deaminase activity	1
GO:0004029	aldehyde dehydrogenase (NAD+) activity	1
GO:0004032	aldose reductase (NADPH) activity	1
GO:0004045	aminoacyl-tRNA hydrolase activity	1
GO:0004089	carbonate dehydratase activity	1
GO:0004168	dolichol kinase activity	1
GO:0004176	ATP-dependent peptidase activity	1
GO:0004177	aminopeptidase activity	1
GO:0004301	epoxide hydrolase activity	1
GO:0004332	fructose-bisphosphate aldolase activity	1
GO:0004351	glutamate decarboxylase activity	1
GO:0004376	glycolipid mannosyltransferase activity	1
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity	1
GO:0004430	1-phosphatidylinositol 4-kinase activity	1
GO:0004445	inositol-polyphosphate 5-phosphatase activity	1
GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity	1
GO:0004523	RNA-DNA hybrid ribonuclease activity	1
GO:0004525	ribonuclease III activity	1
GO:0004527	exonuclease activity	1
GO:0004550	nucleoside diphosphate kinase activity	1
GO:0004556	alpha-amylase activity	1
GO:0004563	beta-N-acetylhexosaminidase activity	1
GO:0004596	peptide alpha-N-acetyltransferase activity	1
GO:0004620	phospholipase activity	1
GO:0004650	polygalacturonase activity	1
GO:0004713	protein tyrosine kinase activity	1
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	1
GO:0004737	pyruvate decarboxylase activity	1
GO:0004749	ribose phosphate diphosphokinase activity	1
GO:0004784	superoxide dismutase activity	1
GO:0004803	transposase activity	1
GO:0004805	trehalose-phosphatase activity	1
GO:0004813	alanine-tRNA ligase activity	1
GO:0004853	uroporphyrinogen decarboxylase activity	1
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	1
GO:0004864	protein phosphatase inhibitor activity	1
GO:0005049	nuclear export signal receptor activity	1
GO:0005085	guanyl-nucleotide exchange factor activity	1
GO:0005096	GTPase activator activity	1
GO:0005313	L-glutamate transmembrane transporter activity	1
GO:0005381	iron ion transmembrane transporter activity	1
GO:0005385	zinc ion transmembrane transporter activity	1
GO:0008061	chitin binding	1
GO:0008081	phosphoric diester hydrolase activity	1
GO:0008094	ATP-dependent activity, acting on DNA	1
GO:0008131	primary methylamine oxidase activity	1
GO:0008237	metallopeptidase activity	1
GO:0008271	secondary active sulfate transmembrane transporter activity	1
GO:0008308	voltage-gated monoatomic anion channel activity	1
GO:0008378	galactosyltransferase activity	1
GO:0008408	3'-5' exonuclease activity	1
GO:0008526	phosphatidylinositol transfer activity	1
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	1
GO:0008773	[protein-PII] uridylyltransferase activity	1
GO:0008839	4-hydroxy-tetrahydrodipicolinate reductase	1
GO:0008922	long-chain fatty acid [acyl-carrier-protein] ligase activity	1
GO:0008964	phosphoenolpyruvate carboxylase activity	1
GO:0009678	diphosphate hydrolysis-driven proton transmembrane transporter activity	1
GO:0009975	cyclase activity	1
GO:0010427	abscisic acid binding	1
GO:0015020	glucuronosyltransferase activity	1
GO:0015095	magnesium ion transmembrane transporter activity	1
GO:0015112	nitrate transmembrane transporter activity	1
GO:0015171	amino acid transmembrane transporter activity	1
GO:0015189	L-lysine transmembrane transporter activity	1
GO:0015385	sodium:proton antiporter activity	1
GO:0016157	sucrose synthase activity	1
GO:0016209	antioxidant activity	1
GO:0016274	protein-arginine N-methyltransferase activity	1
GO:0016308	1-phosphatidylinositol-4-phosphate 5-kinase activity	1
GO:0016410	N-acyltransferase activity	1
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	1
GO:0016706	2-oxoglutarate-dependent dioxygenase activity	1
GO:0016730	oxidoreductase activity, acting on iron-sulfur proteins as donors	1
GO:0016760	cellulose synthase (UDP-forming) activity	1
GO:0016762	xyloglucan:xyloglucosyl transferase activity	1
GO:0016763	pentosyltransferase activity	1
GO:0016773	phosphotransferase activity, alcohol group as acceptor	1
GO:0016791	phosphatase activity	1
GO:0016807	cysteine-type carboxypeptidase activity	1
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	1
GO:0016836	hydro-lyase activity	1
GO:0016866	intramolecular transferase activity	1
GO:0017025	TBP-class protein binding	1
GO:0017172	cysteine dioxygenase activity	1
GO:0019104	DNA N-glycosylase activity	1
GO:0019139	cytokinin dehydrogenase activity	1
GO:0019199	transmembrane receptor protein kinase activity	1
GO:0019210	kinase inhibitor activity	1
GO:0019784	deNEDDylase activity	1
GO:0019900	kinase binding	1
GO:0030145	manganese ion binding	1
GO:0030234	enzyme regulator activity	1
GO:0030276	clathrin binding	1
GO:0030599	pectinesterase activity	1
GO:0030976	thiamine pyrophosphate binding	1
GO:0031267	small GTPase binding	1
GO:0031369	translation initiation factor binding	1
GO:0031386	protein tag activity	1
GO:0031491	nucleosome binding	1
GO:0032977	membrane insertase activity	1
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	1
GO:0034513	box H/ACA snoRNA binding	1
GO:0035514	DNA demethylase activity	1
GO:0035673	oligopeptide transmembrane transporter activity	1
GO:0038023	signaling receptor activity	1
GO:0042802	identical protein binding	1
GO:0042910	xenobiotic transmembrane transporter activity	1
GO:0043295	glutathione binding	1
GO:0043813	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	1
GO:0045703	ketoreductase activity	1
GO:0046403	polynucleotide 3'-phosphatase activity	1
GO:0046404	ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity	1
GO:0046863	ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity	1
GO:0046910	pectinesterase inhibitor activity	1
GO:0046912	acyltransferase activity, acyl groups converted into alkyl on transfer	1
GO:0046961	proton-transporting ATPase activity, rotational mechanism	1
GO:0047429	nucleoside triphosphate diphosphatase activity	1
GO:0047617	fatty acyl-CoA hydrolase activity	1
GO:0048038	quinone binding	1
GO:0051117	ATPase binding	1
GO:0051536	iron-sulfur cluster binding	1
GO:0051751	alpha-1,4-mannosyltransferase activity	1
GO:0051753	mannan synthase activity	1
GO:0052716	hydroquinone:oxygen oxidoreductase activity	1
GO:0061522	1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity	1
GO:0061598	molybdopterin adenylyltransferase activity	1
GO:0061599	molybdopterin molybdotransferase activity	1
GO:0061631	ubiquitin conjugating enzyme activity	1
GO:0070181	small ribosomal subunit rRNA binding	1
GO:0070260	5'-tyrosyl-DNA phosphodiesterase activity	1
GO:0080030	methyl indole-3-acetate esterase activity	1
GO:0080031	methyl salicylate esterase activity	1
GO:0080032	methyl jasmonate esterase activity	1
GO:0090729	toxin activity	1
GO:0102148	obsolete N-acetyl-beta-D-galactosaminidase activity	1
GO:0106245	L-serine-phosphatidylethanolamine phosphatidyltransferase activity	1
GO:0106310	protein serine kinase activity	1
GO:0140326	ATPase-coupled intramembrane lipid transporter activity	1
GO:1990380	K48-linked deubiquitinase activity	1
GO:1990538	xylan O-acetyltransferase activity	1
GO:1990610	acetolactate synthase regulator activity	1
GO:1990714	hydroxyproline O-galactosyltransferase activity	1
