GO	GO_Desc	Count
GO:1990937	xylan acetylation	2
GO:2000762	regulation of phenylpropanoid metabolic process	2
GO:0000027	ribosomal large subunit assembly	1
GO:0000028	ribosomal small subunit assembly	1
GO:0000050	urea cycle	1
GO:0000053	argininosuccinate metabolic process	1
GO:0000055	ribosomal large subunit export from nucleus	1
GO:0000160	phosphorelay signal transduction system	1
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	1
GO:0000244	spliceosomal tri-snRNP complex assembly	1
GO:0000278	mitotic cell cycle	1
GO:0000302	response to reactive oxygen species	1
GO:0000349	generation of catalytic spliceosome for first transesterification step	1
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1
GO:0000470	maturation of LSU-rRNA	1
GO:0000492	box C/D snoRNP assembly	1
GO:0000949	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway	1
GO:0001113	transcription open complex formation at RNA polymerase II promoter	1
GO:0001709	cell fate determination	1
GO:0001731	formation of translation preinitiation complex	1
GO:0002183	cytoplasmic translational initiation	1
GO:0002229	defense response to oomycetes	1
GO:0005983	starch catabolic process	1
GO:0005985	sucrose metabolic process	1
GO:0005987	sucrose catabolic process	1
GO:0006013	mannose metabolic process	1
GO:0006084	acetyl-CoA metabolic process	1
GO:0006116	NADH oxidation	1
GO:0006166	purine ribonucleoside salvage	1
GO:0006168	adenine salvage	1
GO:0006260	DNA replication	1
GO:0006270	DNA replication initiation	1
GO:0006285	base-excision repair, AP site formation	1
GO:0006289	nucleotide-excision repair	1
GO:0006298	mismatch repair	1
GO:0006301	postreplication repair	1
GO:0006325	chromatin organization	1
GO:0006334	nucleosome assembly	1
GO:0006338	chromatin remodeling	1
GO:0006352	DNA-templated transcription initiation	1
GO:0006353	DNA-templated transcription termination	1
GO:0006361	transcription initiation at RNA polymerase I promoter	1
GO:0006364	rRNA processing	1
GO:0006366	transcription by RNA polymerase II	1
GO:0006406	mRNA export from nucleus	1
GO:0006418	tRNA aminoacylation for protein translation	1
GO:0006457	protein folding	1
GO:0006487	protein N-linked glycosylation	1
GO:0006520	amino acid metabolic process	1
GO:0006526	L-arginine biosynthetic process	1
GO:0006535	cysteine biosynthetic process from serine	1
GO:0006596	polyamine biosynthetic process	1
GO:0006644	phospholipid metabolic process	1
GO:0006646	phosphatidylethanolamine biosynthetic process	1
GO:0006659	phosphatidylserine biosynthetic process	1
GO:0006749	glutathione metabolic process	1
GO:0006751	glutathione catabolic process	1
GO:0006814	sodium ion transport	1
GO:0006817	phosphate ion transport	1
GO:0006826	iron ion transport	1
GO:0006850	mitochondrial pyruvate transmembrane transport	1
GO:0006904	vesicle docking involved in exocytosis	1
GO:0006914	autophagy	1
GO:0006950	response to stress	1
GO:0007004	telomere maintenance via telomerase	1
GO:0007017	microtubule-based process	1
GO:0007018	microtubule-based movement	1
GO:0007062	sister chromatid cohesion	1
GO:0007064	mitotic sister chromatid cohesion	1
GO:0007096	regulation of exit from mitosis	1
GO:0007142	male meiosis II	1
GO:0007165	signal transduction	1
GO:0007264	small GTPase-mediated signal transduction	1
GO:0007623	circadian rhythm	1
GO:0008283	cell population proliferation	1
GO:0008380	RNA splicing	1
GO:0008615	pyridoxine biosynthetic process	1
GO:0009058	biosynthetic process	1
GO:0009306	protein secretion	1
GO:0009308	amine metabolic process	1
GO:0009409	response to cold	1
GO:0009416	response to light stimulus	1
GO:0009627	systemic acquired resistance	1
GO:0009637	response to blue light	1
GO:0009649	entrainment of circadian clock	1
GO:0009664	plant-type cell wall organization	1
GO:0009698	phenylpropanoid metabolic process	1
GO:0009723	response to ethylene	1
GO:0009768	photosynthesis, light harvesting in photosystem I	1
GO:0009834	plant-type secondary cell wall biogenesis	1
GO:0009853	photorespiration	1
GO:0009867	jasmonic acid mediated signaling pathway	1
GO:0009873	ethylene-activated signaling pathway	1
GO:0009908	flower development	1
GO:0010044	response to aluminum ion	1
GO:0010104	regulation of ethylene-activated signaling pathway	1
GO:0010142	farnesyl diphosphate biosynthetic process, mevalonate pathway	1
GO:0010468	regulation of gene expression	1
GO:0010496	intercellular transport	1
GO:0012501	programmed cell death	1
GO:0015718	monocarboxylic acid transport	1
GO:0015918	sterol transport	1
GO:0015937	coenzyme A biosynthetic process	1
GO:0015976	carbon utilization	1
GO:0016042	lipid catabolic process	1
GO:0016104	triterpenoid biosynthetic process	1
GO:0016121	carotene catabolic process	1
GO:0016125	sterol metabolic process	1
GO:0016126	sterol biosynthetic process	1
GO:0017004	cytochrome complex assembly	1
GO:0017157	regulation of exocytosis	1
GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	1
GO:0019253	reductive pentose-phosphate cycle	1
GO:0019432	triglyceride biosynthetic process	1
GO:0019441	tryptophan catabolic process to kynurenine	1
GO:0019722	calcium-mediated signaling	1
GO:0019953	sexual reproduction	1
GO:0030001	metal ion transport	1
GO:0030148	sphingolipid biosynthetic process	1
GO:0030244	cellulose biosynthetic process	1
GO:0030261	chromosome condensation	1
GO:0030422	siRNA processing	1
GO:0030497	fatty acid elongation	1
GO:0030865	cortical cytoskeleton organization	1
GO:0031087	deadenylation-independent decapping of nuclear-transcribed mRNA	1
GO:0031118	rRNA pseudouridine synthesis	1
GO:0031119	tRNA pseudouridine synthesis	1
GO:0031120	snRNA pseudouridine synthesis	1
GO:0031347	regulation of defense response	1
GO:0031349	positive regulation of defense response	1
GO:0031408	oxylipin biosynthetic process	1
GO:0031640	killing of cells of another organism	1
GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	1
GO:0032544	plastid translation	1
GO:0032875	regulation of DNA endoreduplication	1
GO:0032956	regulation of actin cytoskeleton organization	1
GO:0032981	mitochondrial respiratory chain complex I assembly	1
GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	1
GO:0033962	P-body assembly	1
GO:0034599	cellular response to oxidative stress	1
GO:0034605	cellular response to heat	1
GO:0034765	regulation of monoatomic ion transmembrane transport	1
GO:0034982	mitochondrial protein processing	1
GO:0042023	DNA endoreduplication	1
GO:0042026	protein refolding	1
GO:0042138	meiotic DNA double-strand break formation	1
GO:0042273	ribosomal large subunit biogenesis	1
GO:0042276	error-prone translesion synthesis	1
GO:0042546	cell wall biogenesis	1
GO:0042744	hydrogen peroxide catabolic process	1
GO:0042753	positive regulation of circadian rhythm	1
GO:0042761	very long-chain fatty acid biosynthetic process	1
GO:0042797	tRNA transcription by RNA polymerase III	1
GO:0042823	pyridoxal phosphate biosynthetic process	1
GO:0044209	AMP salvage	1
GO:0044772	mitotic cell cycle phase transition	1
GO:0045454	cell redox homeostasis	1
GO:0045893	positive regulation of DNA-templated transcription	1
GO:0045910	negative regulation of DNA recombination	1
GO:0045927	positive regulation of growth	1
GO:0046686	response to cadmium ion	1
GO:0046856	phosphatidylinositol dephosphorylation	1
GO:0048527	lateral root development	1
GO:0048830	adventitious root development	1
GO:0050821	protein stabilization	1
GO:0051123	RNA polymerase II preinitiation complex assembly	1
GO:0051276	chromosome organization	1
GO:0051307	meiotic chromosome separation	1
GO:0051321	meiotic cell cycle	1
GO:0051603	proteolysis involved in protein catabolic process	1
GO:0070534	protein K63-linked ubiquitination	1
GO:0071108	protein K48-linked deubiquitination	1
GO:0080162	endoplasmic reticulum to cytosol auxin transport	1
GO:0106035	protein maturation by [4Fe-4S] cluster transfer	1
GO:0120029	proton export across plasma membrane	1
GO:0140982	detoxification of aluminum ion	1
GO:0141166	chromosomal 5-methylcytosine DNA demethylation pathway	1
GO:1901002	positive regulation of response to salt stress	1
GO:1902600	proton transmembrane transport	1
GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane	1
GO:2000022	regulation of jasmonic acid mediated signaling pathway	1
GO:2000031	regulation of salicylic acid mediated signaling pathway	1
