InterPro	InterPro_Desc	Count
IPR013525	ABC-2 type transporter, transmembrane domain	26
IPR016039	Thiolase-like	26
IPR016177	DNA-binding domain superfamily	26
IPR036866	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	26
IPR043129	ATPase, nucleotide binding domain	26
IPR000608	Ubiquitin-conjugating enzyme E2	25
IPR001344	Chlorophyll A-B binding protein, plant and chromista	25
IPR004045	Glutathione S-transferase, N-terminal	25
IPR011010	DNA breaking-rejoining enzyme, catalytic core	25
IPR011993	PH-like domain superfamily	25
IPR013762	Integrase-like, catalytic domain superfamily	25
IPR018253	DnaJ domain, conserved site	25
IPR019786	Zinc finger, PHD-type, conserved site	25
IPR019787	Zinc finger, PHD-finger	25
IPR036922	Rieske [2Fe-2S] iron-sulphur domain superfamily	25
IPR050121	Cytochrome P450 monooxygenase	25
IPR050600	SETD3/SETD6 methyltransferase	25
IPR000225	Armadillo	24
IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site	24
IPR001752	Kinesin motor domain	24
IPR006073	GTP binding domain	24
IPR011333	SKP1/BTB/POZ domain superfamily	24
IPR015797	NUDIX hydrolase-like domain superfamily	24
IPR017941	Rieske [2Fe-2S] iron-sulphur domain	24
IPR029021	Protein-tyrosine phosphatase-like	24
IPR036855	Zinc finger, CCCH-type superfamily	24
IPR000795	Translational (tr)-type GTP-binding domain	23
IPR006016	UspA	23
IPR014721	Small ribosomal subunit protein uS5 domain 2-type fold, subgroup	23
IPR023753	FAD/NAD(P)-binding domain	23
IPR029000	Cyclophilin-like domain superfamily	23
IPR029062	Class I glutamine amidotransferase-like	23
IPR036955	AP2/ERF domain superfamily	23
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	22
IPR002885	Pentatricopeptide repeat	22
IPR004853	Sugar phosphate transporter domain	22
IPR008984	SMAD/FHA domain superfamily	22
IPR012675	Beta-grasp domain superfamily	22
IPR015655	Protein phosphatase 2C	22
IPR016040	NAD(P)-binding domain	22
IPR032710	NTF2-like domain superfamily	22
IPR035892	C2 domain superfamily	22
IPR036812	NADP-dependent oxidoreductase domain superfamily	22
IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold	22
IPR044770	Protein spinster-like	22
IPR050186	Triose Phosphate/Phosphate Translocator	22
IPR003347	JmjC domain	21
IPR003591	Leucine-rich repeat, typical subtype	21
IPR003663	Sugar/inositol transporter	21
IPR013154	Alcohol dehydrogenase-like, N-terminal	21
IPR017930	Myb domain	21
IPR023210	NADP-dependent oxidoreductase domain	21
IPR036464	Rubisco LSMT, substrate-binding domain superfamily	21
IPR036915	Cyclin-like superfamily	21
IPR000253	Forkhead-associated (FHA) domain	20
IPR001279	Metallo-beta-lactamase	20
IPR001471	AP2/ERF domain	20
IPR008978	HSP20-like chaperone	20
IPR013087	Zinc finger C2H2-type	20
IPR015947	PUA-like superfamily	20
IPR018490	Cyclic nucleotide-binding domain superfamily	20
IPR020843	Polyketide synthase, enoylreductase domain	20
IPR020904	Short-chain dehydrogenase/reductase, conserved site	20
IPR023298	P-type ATPase, transmembrane domain superfamily	20
IPR036361	SAP domain superfamily	20
IPR045053	Mannan endo-1,4-beta-mannosidase-like	20
IPR046357	Peptidyl-prolyl cis-trans isomerase domain superfamily	20
IPR000210	BTB/POZ domain	19
IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	19
IPR001757	P-type ATPase	19
IPR004839	Aminotransferase, class I/classII, large domain	19
IPR008250	P-type ATPase, A domain superfamily	19
IPR010998	Integrase/recombinase, N-terminal	19
IPR011012	Longin-like domain superfamily	19
IPR011051	RmlC-like cupin domain superfamily	19
IPR013057	Amino acid transporter, transmembrane domain	19
IPR015940	Ubiquitin-associated domain	19
IPR023299	P-type ATPase, cytoplasmic domain N	19
IPR023393	START-like domain superfamily	19
IPR036465	von Willebrand factor A-like domain superfamily	19
IPR036890	Histidine kinase/HSP90-like ATPase superfamily	19
IPR040911	Exostosin, GT47 domain	19
IPR000086	NUDIX hydrolase domain	18
IPR000595	Cyclic nucleotide-binding domain	18
IPR001163	Sm domain, eukaryotic/archaea-type	18
IPR001296	Glycosyl transferase, family 1	18
IPR001763	Rhodanese-like domain	18
IPR004263	Exostosin-like	18
IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily	18
IPR012341	Six-hairpin glycosidase-like superfamily	18
IPR017937	Thioredoxin, conserved site	18
IPR018303	P-type ATPase, phosphorylation site	18
IPR019821	Kinesin motor domain, conserved site	18
IPR027640	Kinesin-like protein	18
IPR036034	PDZ superfamily	18
IPR036873	Rhodanese-like domain superfamily	18
IPR040079	Glutathione transferase family	18
IPR043519	Nucleotidyltransferase superfamily	18
IPR044492	P-type ATPase, haloacid dehalogenase domain	18
IPR045865	ACT-like domain	18
IPR046342	CBS domain superfamily	18
IPR050113	Ubiquitin-conjugating enzyme	18
IPR050352	ATP-binding cassette subfamily G transporters	18
IPR000644	CBS domain	17
IPR000873	AMP-dependent synthetase/ligase domain	17
IPR001179	FKBP-type peptidyl-prolyl cis-trans isomerase domain	17
IPR002937	Amine oxidase	17
IPR002938	FAD-binding domain	17
IPR004147	ABC1 atypical kinase-like domain	17
IPR029033	Histidine phosphatase superfamily	17
IPR029061	Thiamin diphosphate-binding fold	17
IPR035952	Rhomboid-like superfamily	17
IPR036908	RlpA-like domain superfamily	17
IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain	17
IPR041698	Methyltransferase domain 25	17
IPR042099	ANL, N-terminal domain	17
IPR051218	Secreted Mono/Diacylglycerol Lipase	17
IPR000008	C2 domain	16
IPR000717	Proteasome component (PCI) domain	16
IPR001353	Proteasome, subunit alpha/beta	16
IPR001806	Small GTPase	16
IPR006553	Leucine-rich repeat, cysteine-containing subtype	16
IPR007197	Radical SAM	16
IPR008266	Tyrosine-protein kinase, active site	16
IPR008963	Purple acid phosphatase-like, N-terminal	16
IPR008991	Translation protein SH3-like domain superfamily	16
IPR013149	Alcohol dehydrogenase-like, C-terminal	16
IPR013216	Methyltransferase type 11	16
IPR013830	SGNH hydrolase-type esterase domain	16
IPR017938	Riboflavin synthase-like beta-barrel	16
IPR023313	Ubiquitin-conjugating enzyme, active site	16
IPR036420	BRCT domain superfamily	16
IPR036749	Expansin, cellulose-binding-like domain superfamily	16
IPR050205	Calcium-dependent Serine/Threonine Protein Kinases	16
IPR050584	Cholesterol 7-desaturase	16
IPR000742	EGF-like domain	15
IPR003029	S1 domain	15
IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily	15
IPR011004	Trimeric LpxA-like superfamily	15
IPR011050	Pectin lyase fold/virulence factor	15
IPR011053	Single hybrid motif	15
IPR011527	ABC transporter type 1, transmembrane domain	15
IPR012349	FMN-binding split barrel	15
IPR013078	Histidine phosphatase superfamily, clade-1	15
IPR013320	Concanavalin A-like lectin/glucanase domain superfamily	15
IPR014014	RNA helicase, DEAD-box type, Q motif	15
IPR020103	Pseudouridine synthase, catalytic domain superfamily	15
IPR020471	Aldo-keto reductase	15
IPR025733	Iron/zinc purple acid phosphatase-like C-terminal domain	15
IPR036236	Zinc finger C2H2 superfamily	15
IPR036612	K Homology domain, type 1 superfamily	15
IPR045262	Sugar transport protein STP/Polyol transporter PLT, plant	15
IPR052925	Phage Integrase-like Recombinase	15
IPR000209	Peptidase S8/S53 domain	14
IPR000340	Dual specificity phosphatase, catalytic domain	14
IPR000467	G-patch domain	14
IPR001202	WW domain	14
IPR001251	CRAL-TRIO lipid binding domain	14
IPR001487	Bromodomain	14
IPR001509	NAD-dependent epimerase/dehydratase	14
IPR002293	Amino acid/polyamine transporter I	14
IPR003034	SAP domain	14
IPR003609	PAN/Apple domain	14
IPR007125	Histone H2A/H2B/H3	14
IPR009078	Ferritin-like superfamily	14
IPR011042	Six-bladed beta-propeller, TolB-like	14
IPR014722	Large ribosomal subunit protein uL2, domain 2	14
IPR015914	Purple acid phosphatase, N-terminal	14
IPR018200	Ubiquitin specific protease, conserved site	14
IPR019410	Lysine methyltransferase	14
IPR021109	Aspartic peptidase domain superfamily	14
IPR022764	Peptidase S54, rhomboid domain	14
IPR036020	WW domain superfamily	14
IPR036427	Bromodomain-like superfamily	14
IPR036640	ABC transporter type 1, transmembrane domain superfamily	14
IPR036852	Peptidase S8/S53 domain superfamily	14
IPR036865	CRAL-TRIO lipid binding domain superfamily	14
IPR041667	Cupin-like domain 8	14
IPR051681	Serine/Threonine Kinases and Pseudokinases	14
IPR000222	PPM-type phosphatase, divalent cation binding	13
IPR000620	EamA domain	13
IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	13
IPR001433	Oxidoreductase FAD/NAD(P)-binding	13
IPR001478	PDZ domain	13
IPR001926	Tryptophan synthase beta chain-like, PALP domain	13
IPR003406	Glycosyl transferase, family 14	13
IPR004161	Translation elongation factor EFTu-like, domain 2	13
IPR007502	Helicase-associated domain	13
IPR008942	ENTH/VHS	13
IPR009081	Phosphopantetheine binding ACP domain	13
IPR011013	Galactose mutarotase-like domain superfamily	13
IPR013747	Beta-ketoacyl-[acyl-carrier-protein] synthase III, C-terminal	13
IPR015500	Peptidase S8, subtilisin-related	13
IPR016123	Mog1/PsbP, alpha/beta/alpha sandwich	13
IPR018957	Zinc finger, C3HC4 RING-type	13
IPR020845	AMP-binding, conserved site	13
IPR029039	Flavoprotein-like superfamily	13
IPR029056	Ribokinase-like	13
IPR036010	2Fe-2S ferredoxin-like superfamily	13
IPR036052	Tryptophan synthase beta chain-like, PALP domain superfamily	13
IPR036736	ACP-like superfamily	13
IPR038770	Sodium/solute symporter superfamily	13
IPR041792	Purple acid phosphatase, metallophosphatase domain	13
IPR044174	Glycosyltransferase BC10-like	13
IPR044778	Sugar transport protein STP/MST-like, plant	13
IPR050079	DEAD box RNA helicase	13
IPR000089	Biotin/lipoyl attachment	12
IPR000195	Rab-GAP-TBC domain	12
IPR000639	Epoxide hydrolase-like	12
IPR000727	Target SNARE coiled-coil homology domain	12
IPR001041	2Fe-2S ferredoxin-type iron-sulfur binding domain	12
IPR001357	BRCT domain	12
IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family	12
IPR002683	PsbP, C-terminal	12
IPR003107	HAT (Half-A-TPR) repeat	12
IPR004087	K Homology domain	12
IPR004088	K Homology domain, type 1	12
IPR005123	Oxoglutarate/iron-dependent dioxygenase domain	12
IPR006015	Universal stress protein A family	12
IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	12
IPR006195	Aminoacyl-tRNA synthetase, class II	12
IPR006439	HAD hydrolase, subfamily IA	12
IPR006652	Kelch repeat type 1	12
IPR006671	Cyclin, N-terminal	12
IPR007052	CS domain	12
IPR008160	Collagen triple helix repeat	12
IPR008928	Six-hairpin glycosidase superfamily	12
IPR008972	Cupredoxin	12
IPR012392	Very-long-chain 3-ketoacyl-CoA synthase	12
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type	12
IPR013601	FAE1/Type III polyketide synthase-like protein	12
IPR013626	Pheophorbide a oxygenase	12
IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase	12
IPR016130	Protein-tyrosine phosphatase, active site	12
IPR016161	Aldehyde/histidinol dehydrogenase	12
IPR016169	FAD-binding, type PCMH, subdomain 2	12
IPR016197	Chromo-like domain superfamily	12
IPR023696	Ureohydrolase domain superfamily	12
IPR023801	Histone deacetylase domain	12
IPR023828	Peptidase S8, subtilisin, Ser-active site	12
IPR025110	AMP-binding enzyme, C-terminal domain	12
IPR027409	GroEL-like apical domain superfamily	12
IPR029016	GAF-like domain superfamily	12
IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	12
IPR029069	HotDog domain superfamily	12
IPR032466	Metal-dependent hydrolase	12
IPR035969	Rab-GAP-TBC domain superfamily	12
IPR036318	FAD-binding, type PCMH-like superfamily	12
IPR036910	High mobility group box domain superfamily	12
IPR037138	Histone deacetylase domain superfamily	12
IPR037219	Peptidase M41-like	12
IPR043926	ABC transporter family G domain	12
IPR045234	RING finger protein Unkempt-like	12
IPR048333	Helicase associated domain (HA2), winged-helix domain	12
IPR050149	Collagen superfamily	12
IPR050284	Histone deacetylase and polyamine deacetylase	12
IPR050870	FAST kinase domain-containing	12
IPR000286	Histone deacetylase family	11
IPR000387	Tyrosine-specific protein phosphatases domain	11
IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain	11
IPR000555	JAB1/MPN/MOV34 metalloenzyme domain	11
IPR001199	Cytochrome b5-like heme/steroid binding domain	11
IPR001494	Importin-beta, N-terminal domain	11
IPR001594	Palmitoyltransferase, DHHC domain	11
IPR002123	Phospholipid/glycerol acyltransferase	11
IPR003594	Histidine kinase/HSP90-like ATPase domain	11
IPR004274	FCP1 homology domain	11
IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain	11
IPR005069	Nucleotide-diphospho-sugar transferase	11
IPR006047	Glycosyl hydrolase, family 13, catalytic domain	11
IPR006153	Cation/H+ exchanger	11
IPR006447	Myb domain, plants	11
IPR006638	Elp3/MiaA/NifB-like, radical SAM core domain	11
IPR007117	Expansin, cellulose-binding-like domain	11
IPR007248	Mpv17/PMP22	11
IPR009071	High mobility group box domain	11
IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	11
IPR011709	DEAD-box helicase, OB fold	11
IPR013763	Cyclin-like domain	11
IPR015590	Aldehyde dehydrogenase domain	11
IPR016162	Aldehyde dehydrogenase, N-terminal	11
IPR016163	Aldehyde dehydrogenase, C-terminal	11
IPR018392	LysM domain	11
IPR020422	Dual specificity protein phosphatase domain	11
IPR023631	Amidase signature domain	11
IPR026057	Trichome birefringence-like, C-terminal domain	11
IPR027410	TCP-1-like chaperonin intermediate domain superfamily	11
IPR027413	GroEL-like equatorial domain superfamily	11
IPR029026	tRNA (guanine-N1-)-methyltransferase, N-terminal	11
IPR029028	Alpha/beta knot methyltransferases	11
IPR029064	Ribosomal protein eL30-like superfamily	11
IPR029962	Trichome birefringence-like family	11
IPR031157	Tr-type G domain, conserved site	11
IPR033443	PROP1-like, PPR domain	11
IPR036378	FAS1 domain superfamily	11
IPR036400	Cytochrome b5-like heme/steroid binding domain superfamily	11
IPR036410	Heat shock protein DnaJ, cysteine-rich domain superfamily	11
IPR036779	LysM domain superfamily	11
IPR036928	Amidase signature (AS) superfamily	11
IPR039633	Plastid-lipid-associated protein	11
IPR044845	Glycosyltransferase HPAT/SRGT1-like	11
IPR044862	Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain	11
IPR050108	Cyclin-dependent kinase	11
IPR050715	Leucine-rich repeat and signaling effector domain-containing protein	11
IPR051532	Diverse Ester Hydrolysis Enzymes	11
IPR000408	Regulator of chromosome condensation, RCC1	10
IPR000648	Oxysterol-binding protein	10
IPR000668	Peptidase C1A, papain C-terminal	10
IPR000866	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	10
IPR001173	Glycosyltransferase 2-like	10
IPR001360	Glycoside hydrolase family 1	10
IPR001375	Peptidase S9, prolyl oligopeptidase, catalytic domain	10
IPR001606	ARID DNA-binding domain	10
IPR002052	DNA methylase, N-6 adenine-specific, conserved site	10
IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	10
IPR003582	ShKT domain	10
IPR003954	RNA recognition motif domain, eukaryote	10
IPR005804	Fatty acid desaturase domain	10
IPR006076	FAD dependent oxidoreductase	10
IPR006620	Prolyl 4-hydroxylase, alpha subunit	10
IPR006843	Plastid lipid-associated protein/fibrillin conserved domain	10
IPR008011	Complex 1 LYR protein domain	10
IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II	10
IPR010987	Glutathione S-transferase, C-terminal-like	10
IPR011060	Ribulose-phosphate binding barrel	10
IPR011124	Zinc finger, CW-type	10
IPR012334	Pectin lyase fold	10
IPR013126	Heat shock protein 70 family	10
IPR013128	Peptidase C1A	10
IPR013784	Carbohydrate-binding-like fold	10
IPR013815	ATP-grasp fold, subdomain 1	10
IPR014030	Beta-ketoacyl synthase-like, N-terminal	10
IPR014031	Beta-ketoacyl synthase, C-terminal	10
IPR015813	Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily	10
IPR016185	Pre-ATP-grasp domain superfamily	10
IPR020806	Polyketide synthase, phosphopantetheine-binding domain	10
IPR020841	Polyketide synthase, beta-ketoacyl synthase domain	10
IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site	10
IPR028889	Ubiquitin specific protease domain	10
IPR036431	ARID DNA-binding domain superfamily	10
IPR036940	Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	10
IPR036986	RNA-binding S4 domain superfamily	10
IPR037171	NagB/RpiA transferase-like	10
IPR037239	Oxysterol-binding protein superfamily	10
IPR041677	DNA2/NAM7 helicase, helicase domain	10
IPR041679	DNA2/NAM7 helicase-like, C-terminal	10
IPR045851	AMP-binding enzyme, C-terminal domain superfamily	10
IPR046346	Aminoacid dehydrogenase-like, N-terminal domain superfamily	10
IPR047187	Upf1-like, C-terminal helicase domain	10
IPR000192	Aminotransferase class V domain	9
IPR000432	DNA mismatch repair protein MutS, C-terminal	9
IPR000594	THIF-type NAD/FAD binding fold	9
IPR000640	Elongation factor EFG, domain V-like	9
IPR000642	Peptidase M41	9
IPR000679	Zinc finger, GATA-type	9
IPR000782	FAS1 domain	9
IPR000953	Chromo/chromo shadow domain	9
IPR000994	Peptidase M24	9
IPR001107	Band 7 domain	9
IPR001461	Aspartic peptidase A1	9
IPR001525	C-5 cytosine methyltransferase	9
IPR001789	Signal transduction response regulator, receiver domain	9
IPR001807	Chloride channel, voltage gated	9
IPR001907	ATP-dependent Clp protease proteolytic subunit	9
IPR001940	Peptidase S1C	9
IPR002109	Glutaredoxin	9
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase	9
IPR002528	Multi antimicrobial extrusion protein	9
IPR002659	Glycosyl transferase, family 31	9
IPR002933	Peptidase M20	9
IPR002963	Expansin	9
IPR003018	GAF domain	9
IPR004014	Cation-transporting P-type ATPase, N-terminal	9
IPR004367	Cyclin, C-terminal domain	9
IPR006050	DNA photolyase, N-terminal	9
IPR006058	2Fe-2S ferredoxin, iron-sulphur binding site	9
IPR006139	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	9
IPR006342	Methyltransferase FkbM	9
IPR006593	Cytochrome b561/ferric reductase transmembrane	9
IPR006917	SOUL haem-binding protein	9
IPR007130	Diacylglycerol acyltransferase	9
IPR007863	Peptidase M16, C-terminal	9
IPR008166	Glycosyltransferase family 92	9
IPR009001	Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal	9
IPR009053	Prefoldin	9
IPR011006	CheY-like superfamily	9
IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	9
IPR011256	Regulatory factor, effector binding domain superfamily	9
IPR011257	DNA glycosylase	9
IPR011611	Carbohydrate kinase PfkB	9
IPR013088	Zinc finger, NHR/GATA-type	9
IPR013328	6-phosphogluconate dehydrogenase, domain 2	9
IPR013584	RAP domain	9
IPR014743	Chloride channel, core	9
IPR016166	FAD-binding domain, PCMH-type	9
IPR017926	Glutamine amidotransferase	9
IPR019956	Ubiquitin domain	9
IPR020084	NUDIX hydrolase, conserved site	9
IPR023198	Phosphoglycolate phosphatase-like, domain 2	9
IPR023271	Aquaporin-like	9
IPR023296	Glycosyl hydrolase, five-bladed beta-propeller domain superfamily	9
IPR023333	Proteasome B-type subunit	9
IPR023562	Clp protease proteolytic subunit /Translocation-enhancing protein TepA	9
IPR025661	Cysteine peptidase, asparagine active site	9
IPR025714	Methyltransferase domain	9
IPR027443	Isopenicillin N synthase-like superfamily	9
IPR029035	DHS-like NAD/FAD-binding domain superfamily	9
IPR029060	PIN-like domain superfamily	9
IPR030616	Aurora kinase-like	9
IPR031327	Mini-chromosome maintenance protein	9
IPR032816	VTT domain	9
IPR033121	Peptidase family A1 domain	9
IPR035441	TFIIS/LEDGF domain superfamily	9
IPR035647	EF-G domain III/V-like	9
IPR035985	Ubiquitin-activating enzyme	9
IPR036005	Creatinase/aminopeptidase-like	9
IPR036155	Cryptochrome/photolyase, N-terminal domain superfamily	9
IPR041562	MCM, AAA-lid domain	9
IPR045055	DNA2/NAM7-like helicase	9
IPR045314	G-box binding factor 1-like, bZIP domain, plant	9
IPR045886	ThiF/MoeB/HesA family	9
IPR050131	Subtilisin-like serine protease	9
IPR001012	UBX domain	8
IPR001048	Aspartate/glutamate/uridylate kinase	8
IPR001208	MCM domain	8
IPR001247	Exoribonuclease, phosphorolytic domain 1	8
IPR001849	Pleckstrin homology domain	8
IPR002016	Haem peroxidase	8
IPR002194	Chaperonin TCP-1, conserved site	8
IPR002524	Cation efflux protein	8
IPR002562	3'-5' exonuclease domain	8
IPR002625	Smr domain	8
IPR002641	Patatin-like phospholipase domain	8
IPR002939	Chaperone DnaJ, C-terminal	8
IPR002942	RNA-binding S4 domain	8
IPR003137	PA domain	8
IPR004046	Glutathione S-transferase, C-terminal	8
IPR005814	Aminotransferase class-III	8
IPR006094	FAD linked oxidase, N-terminal	8
IPR006121	Heavy metal-associated domain, HMA	8
IPR006575	RWD domain	8
IPR006626	Parallel beta-helix repeat	8
IPR006685	Mechanosensitive ion channel MscS	8
IPR006689	Small GTPase superfamily, ARF/SAR type	8
IPR007696	DNA mismatch repair protein MutS, core	8
IPR008254	Flavodoxin/nitric oxide synthase	8
IPR008971	HSP40/DnaJ peptide-binding	8
IPR009069	Cysteine alpha-hairpin motif superfamily	8
IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily	8
