GO	GO_Desc	Count
GO:0044528	regulation of mitochondrial mRNA stability	12
GO:0051028	mRNA transport	12
GO:0000027	ribosomal large subunit assembly	11
GO:0001732	formation of cytoplasmic translation initiation complex	11
GO:0006006	glucose metabolic process	11
GO:0006302	double-strand break repair	11
GO:0009416	response to light stimulus	11
GO:0009768	photosynthesis, light harvesting in photosystem I	11
GO:0030150	protein import into mitochondrial matrix	11
GO:0042026	protein refolding	11
GO:0042147	retrograde transport, endosome to Golgi	11
GO:0042273	ribosomal large subunit biogenesis	11
GO:0042542	response to hydrogen peroxide	11
GO:0051085	chaperone cofactor-dependent protein refolding	11
GO:0000387	spliceosomal snRNP assembly	10
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10
GO:0002181	cytoplasmic translation	10
GO:0006094	gluconeogenesis	10
GO:0006139	nucleobase-containing compound metabolic process	10
GO:0006189	'de novo' IMP biosynthetic process	10
GO:0006338	chromatin remodeling	10
GO:0006623	protein targeting to vacuole	10
GO:0006906	vesicle fusion	10
GO:0007052	mitotic spindle organization	10
GO:0007059	chromosome segregation	10
GO:0008654	phospholipid biosynthetic process	10
GO:0009409	response to cold	10
GO:0009423	chorismate biosynthetic process	10
GO:0019252	starch biosynthetic process	10
GO:0019432	triglyceride biosynthetic process	10
GO:0030198	extracellular matrix organization	10
GO:0030968	endoplasmic reticulum unfolded protein response	10
GO:0031145	anaphase-promoting complex-dependent catabolic process	10
GO:0071555	cell wall organization	10
GO:0000122	negative regulation of transcription by RNA polymerase II	9
GO:0000723	telomere maintenance	9
GO:0002098	tRNA wobble uridine modification	9
GO:0006261	DNA-templated DNA replication	9
GO:0006265	DNA topological change	9
GO:0006334	nucleosome assembly	9
GO:0006401	RNA catabolic process	9
GO:0006520	amino acid metabolic process	9
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	9
GO:0006887	exocytosis	9
GO:0006897	endocytosis	9
GO:0006979	response to oxidative stress	9
GO:0009231	riboflavin biosynthetic process	9
GO:0009408	response to heat	9
GO:0009664	plant-type cell wall organization	9
GO:0009772	photosynthetic electron transport in photosystem II	9
GO:0016925	protein sumoylation	9
GO:0032981	mitochondrial respiratory chain complex I assembly	9
GO:0036211	protein modification process	9
GO:0043248	proteasome assembly	9
GO:0046854	phosphatidylinositol phosphate biosynthetic process	9
GO:0060271	cilium assembly	9
GO:0070085	glycosylation	9
GO:0000105	L-histidine biosynthetic process	8
GO:0000160	phosphorelay signal transduction system	8
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	8
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8
GO:0000470	maturation of LSU-rRNA	8
GO:0006086	acetyl-CoA biosynthetic process from pyruvate	8
GO:0006268	DNA unwinding involved in DNA replication	8
GO:0006303	double-strand break repair via nonhomologous end joining	8
GO:0006417	regulation of translation	8
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	8
GO:0006526	L-arginine biosynthetic process	8
GO:0006612	protein targeting to membrane	8
GO:0006631	fatty acid metabolic process	8
GO:0006644	phospholipid metabolic process	8
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	8
GO:0006813	potassium ion transport	8
GO:0006879	intracellular iron ion homeostasis	8
GO:0007030	Golgi organization	8
GO:0009089	lysine biosynthetic process via diaminopimelate	8
GO:0009097	isoleucine biosynthetic process	8
GO:0010207	photosystem II assembly	8
GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	8
GO:0042274	ribosomal small subunit biogenesis	8
GO:0045893	positive regulation of DNA-templated transcription	8
GO:0051123	RNA polymerase II preinitiation complex assembly	8
GO:0000226	microtubule cytoskeleton organization	7
GO:0000302	response to reactive oxygen species	7
GO:0006004	fucose metabolic process	7
GO:0006048	UDP-N-acetylglucosamine biosynthetic process	7
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	7
GO:0006353	DNA-templated transcription termination	7
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	7
GO:0006620	post-translational protein targeting to endoplasmic reticulum membrane	7
GO:0006730	one-carbon metabolic process	7
GO:0006744	ubiquinone biosynthetic process	7
GO:0006826	iron ion transport	7
GO:0006974	DNA damage response	7
GO:0007005	mitochondrion organization	7
GO:0008299	isoprenoid biosynthetic process	7
GO:0008610	lipid biosynthetic process	7
GO:0009086	methionine biosynthetic process	7
GO:0009228	thiamine biosynthetic process	7
GO:0016117	carotenoid biosynthetic process	7
GO:0016973	poly(A)+ mRNA export from nucleus	7
GO:0017148	negative regulation of translation	7
GO:0030148	sphingolipid biosynthetic process	7
GO:0030490	maturation of SSU-rRNA	7
GO:0031122	cytoplasmic microtubule organization	7
GO:0031124	mRNA 3'-end processing	7
GO:0034976	response to endoplasmic reticulum stress	7
GO:0035435	phosphate ion transmembrane transport	7
GO:0035999	tetrahydrofolate interconversion	7
GO:0036297	interstrand cross-link repair	7
GO:0045292	mRNA cis splicing, via spliceosome	7
GO:0045324	late endosome to vacuole transport	7
GO:0050821	protein stabilization	7
GO:0051259	protein complex oligomerization	7
GO:0070475	rRNA base methylation	7
GO:0000162	tryptophan biosynthetic process	6
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	6
GO:0001522	pseudouridine synthesis	6
GO:0006002	fructose 6-phosphate metabolic process	6
GO:0006071	glycerol metabolic process	6
GO:0006116	NADH oxidation	6
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	6
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	6
GO:0006352	DNA-templated transcription initiation	6
GO:0006366	transcription by RNA polymerase II	6
GO:0006405	RNA export from nucleus	6
GO:0006535	cysteine biosynthetic process from serine	6
GO:0006665	sphingolipid metabolic process	6
GO:0006749	glutathione metabolic process	6
GO:0006811	monoatomic ion transport	6
GO:0006874	intracellular calcium ion homeostasis	6
GO:0006880	intracellular sequestering of iron ion	6
GO:0007020	microtubule nucleation	6
GO:0007064	mitotic sister chromatid cohesion	6
GO:0007131	reciprocal meiotic recombination	6
GO:0009435	NAD biosynthetic process	6
GO:0009651	response to salt stress	6
GO:0010206	photosystem II repair	6
GO:0010498	proteasomal protein catabolic process	6
GO:0015937	coenzyme A biosynthetic process	6
GO:0016075	rRNA catabolic process	6
GO:0016121	carotene catabolic process	6
GO:0016126	sterol biosynthetic process	6
GO:0016236	macroautophagy	6
GO:0017004	cytochrome complex assembly	6
GO:0019941	modification-dependent protein catabolic process	6
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	6
GO:0034314	Arp2/3 complex-mediated actin nucleation	6
GO:0034475	U4 snRNA 3'-end processing	6
GO:0042073	intraciliary transport	6
GO:0042128	nitrate assimilation	6
GO:0042391	regulation of membrane potential	6
GO:0042546	cell wall biogenesis	6
GO:0042773	ATP synthesis coupled electron transport	6
GO:0045039	protein insertion into mitochondrial inner membrane	6
GO:0048278	vesicle docking	6
GO:0051225	spindle assembly	6
GO:0070125	mitochondrial translational elongation	6
GO:0071051	poly(A)-dependent snoRNA 3'-end processing	6
GO:0071586	CAAX-box protein processing	6
GO:0072344	rescue of stalled ribosome	6
GO:1901259	chloroplast rRNA processing	6
GO:1902600	proton transmembrane transport	6
GO:0000077	DNA damage checkpoint signaling	5
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	5
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	5
GO:0000338	protein deneddylation	5
GO:0000455	enzyme-directed rRNA pseudouridine synthesis	5
GO:0000460	maturation of 5.8S rRNA	5
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5
GO:0000492	box C/D snoRNP assembly	5
GO:0000727	double-strand break repair via break-induced replication	5
GO:0001682	tRNA 5'-leader removal	5
GO:0006044	N-acetylglucosamine metabolic process	5
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	5
GO:0006383	transcription by RNA polymerase III	5
GO:0006384	transcription initiation at RNA polymerase III promoter	5
GO:0006518	peptide metabolic process	5
GO:0006542	glutamine biosynthetic process	5
GO:0006893	Golgi to plasma membrane transport	5
GO:0006950	response to stress	5
GO:0007004	telomere maintenance via telomerase	5
GO:0007017	microtubule-based process	5
GO:0007031	peroxisome organization	5
GO:0007076	mitotic chromosome condensation	5
GO:0007094	mitotic spindle assembly checkpoint signaling	5
GO:0007229	integrin-mediated signaling pathway	5
GO:0009088	threonine biosynthetic process	5
GO:0009411	response to UV	5
GO:0009736	cytokinin-activated signaling pathway	5
GO:0009744	response to sucrose	5
GO:0009767	photosynthetic electron transport chain	5
GO:0009969	xyloglucan biosynthetic process	5
GO:0010506	regulation of autophagy	5
GO:0015990	electron transport coupled proton transport	5
GO:0016485	protein processing	5
GO:0017183	protein histidyl modification to diphthamide	5
GO:0019853	L-ascorbic acid biosynthetic process	5
GO:0030245	cellulose catabolic process	5
GO:0031123	RNA 3'-end processing	5
GO:0031297	replication fork processing	5
GO:0032456	endocytic recycling	5
GO:0042795	snRNA transcription by RNA polymerase II	5
GO:0042796	snRNA transcription by RNA polymerase III	5
GO:0044205	'de novo' UMP biosynthetic process	5
GO:0046513	ceramide biosynthetic process	5
GO:0046654	tetrahydrofolate biosynthetic process	5
GO:0046907	intracellular transport	5
GO:0051999	mannosyl-inositol phosphorylceramide biosynthetic process	5
GO:0055088	lipid homeostasis	5
GO:0070979	protein K11-linked ubiquitination	5
GO:0071028	nuclear mRNA surveillance	5
GO:0071035	nuclear polyadenylation-dependent rRNA catabolic process	5
GO:0071038	TRAMP-dependent tRNA surveillance pathway	5
GO:0071897	DNA biosynthetic process	5
GO:0090110	COPII-coated vesicle cargo loading	5
GO:0097428	protein maturation by iron-sulfur cluster transfer	5
GO:0000056	ribosomal small subunit export from nucleus	4
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4
GO:0000973	post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery	4
GO:0001731	formation of translation preinitiation complex	4
GO:0005978	glycogen biosynthetic process	4
GO:0005986	sucrose biosynthetic process	4
GO:0006000	fructose metabolic process	4
GO:0006264	mitochondrial DNA replication	4
GO:0006398	mRNA 3'-end processing by stem-loop binding and cleavage	4
GO:0006402	mRNA catabolic process	4
GO:0006513	protein monoubiquitination	4
GO:0006559	L-phenylalanine catabolic process	4
GO:0006574	valine catabolic process	4
GO:0006607	NLS-bearing protein import into nucleus	4
GO:0006611	protein export from nucleus	4
GO:0006639	acylglycerol metabolic process	4
GO:0006646	phosphatidylethanolamine biosynthetic process	4
GO:0006729	tetrahydrobiopterin biosynthetic process	4
GO:0006913	nucleocytoplasmic transport	4
GO:0006952	defense response	4
GO:0007021	tubulin complex assembly	4
GO:0007023	post-chaperonin tubulin folding pathway	4
GO:0007264	small GTPase-mediated signal transduction	4
GO:0009099	L-valine biosynthetic process	4
GO:0009190	cyclic nucleotide biosynthetic process	4
GO:0009229	thiamine diphosphate biosynthetic process	4
GO:0009306	protein secretion	4
GO:0009308	amine metabolic process	4
GO:0009446	putrescine biosynthetic process	4
GO:0009653	anatomical structure morphogenesis	4
GO:0009734	auxin-activated signaling pathway	4
GO:0009773	photosynthetic electron transport in photosystem I	4
GO:0009853	photorespiration	4
GO:0009867	jasmonic acid mediated signaling pathway	4
GO:0010027	thylakoid membrane organization	4
GO:0010960	magnesium ion homeostasis	4
GO:0015743	malate transport	4
GO:0015969	guanosine tetraphosphate metabolic process	4
GO:0015977	carbon fixation	4
GO:0015986	proton motive force-driven ATP synthesis	4
GO:0016024	CDP-diacylglycerol biosynthetic process	4
GO:0016114	terpenoid biosynthetic process	4
GO:0016558	protein import into peroxisome matrix	4
GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	4
GO:0019346	transsulfuration	4
GO:0019509	L-methionine salvage from methylthioadenosine	4
GO:0019563	glycerol catabolic process	4
GO:0030041	actin filament polymerization	4
GO:0030388	fructose 1,6-bisphosphate metabolic process	4
GO:0031119	tRNA pseudouridine synthesis	4
GO:0032012	regulation of ARF protein signal transduction	4
GO:0032197	retrotransposition	4
GO:0032465	regulation of cytokinesis	4
GO:0032509	endosome transport via multivesicular body sorting pathway	4
GO:0032511	late endosome to vacuole transport via multivesicular body sorting pathway	4
GO:0033314	mitotic DNA replication checkpoint signaling	4
GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	4
GO:0033617	mitochondrial cytochrome c oxidase assembly	4
GO:0033962	P-body assembly	4
GO:0034551	mitochondrial respiratory chain complex III assembly	4
GO:0034975	protein folding in endoplasmic reticulum	4
GO:0036071	N-glycan fucosylation	4
GO:0042276	error-prone translesion synthesis	4
GO:0042549	photosystem II stabilization	4
GO:0042761	very long-chain fatty acid biosynthetic process	4
GO:0042797	tRNA transcription by RNA polymerase III	4
GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	4
GO:0044772	mitotic cell cycle phase transition	4
GO:0044773	mitotic DNA damage checkpoint signaling	4
GO:0045116	protein neddylation	4
GO:0045717	negative regulation of fatty acid biosynthetic process	4
GO:0045842	positive regulation of mitotic metaphase/anaphase transition	4
GO:0045892	negative regulation of DNA-templated transcription	4
GO:0045910	negative regulation of DNA recombination	4
GO:0048026	positive regulation of mRNA splicing, via spliceosome	4
GO:0048511	rhythmic process	4
GO:0051260	protein homooligomerization	4
GO:0051315	attachment of mitotic spindle microtubules to kinetochore	4
GO:0051726	regulation of cell cycle	4
GO:0055129	L-proline biosynthetic process	4
GO:0061077	chaperone-mediated protein folding	4
GO:0071218	cellular response to misfolded protein	4
GO:0072583	clathrin-dependent endocytosis	4
GO:0080090	regulation of primary metabolic process	4
GO:0090374	oligopeptide export from mitochondrion	4
GO:0120029	proton export across plasma membrane	4
GO:1905515	non-motile cilium assembly	4
GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane	4
GO:2001295	malonyl-CoA biosynthetic process	4
GO:0000055	ribosomal large subunit export from nucleus	3
GO:0000070	mitotic sister chromatid segregation	3
GO:0000082	G1/S transition of mitotic cell cycle	3
GO:0000103	sulfate assimilation	3
GO:0000245	spliceosomal complex assembly	3
GO:0000390	spliceosomal complex disassembly	3
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3
GO:0000712	resolution of meiotic recombination intermediates	3
GO:0000902	cell morphogenesis	3
GO:0000965	mitochondrial RNA 3'-end processing	3
GO:0001680	tRNA 3'-terminal CCA addition	3
GO:0002143	tRNA wobble position uridine thiolation	3
GO:0002949	tRNA threonylcarbamoyladenosine modification	3
GO:0005992	trehalose biosynthetic process	3
GO:0006021	inositol biosynthetic process	3
GO:0006090	pyruvate metabolic process	3
GO:0006097	glyoxylate cycle	3
GO:0006098	pentose-phosphate shunt	3
GO:0006107	oxaloacetate metabolic process	3
GO:0006121	mitochondrial electron transport, succinate to ubiquinone	3
GO:0006144	purine nucleobase metabolic process	3
GO:0006225	UDP biosynthetic process	3
GO:0006272	leading strand elongation	3
GO:0006285	base-excision repair, AP site formation	3
GO:0006297	nucleotide-excision repair, DNA gap filling	3
GO:0006307	DNA alkylation repair	3
GO:0006309	apoptotic DNA fragmentation	3
GO:0006335	DNA replication-dependent chromatin assembly	3
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	3
GO:0006421	asparaginyl-tRNA aminoacylation	3
GO:0006432	phenylalanyl-tRNA aminoacylation	3
GO:0006436	tryptophanyl-tRNA aminoacylation	3
GO:0006437	tyrosyl-tRNA aminoacylation	3
GO:0006506	GPI anchor biosynthetic process	3
GO:0006538	glutamate catabolic process	3
GO:0006564	L-serine biosynthetic process	3
GO:0006567	threonine catabolic process	3
GO:0006598	polyamine catabolic process	3
GO:0006621	protein retention in ER lumen	3
GO:0006666	3-keto-sphinganine metabolic process	3
GO:0006734	NADH metabolic process	3
GO:0006753	nucleoside phosphate metabolic process	3
GO:0006790	sulfur compound metabolic process	3
GO:0006796	phosphate-containing compound metabolic process	3
GO:0006816	calcium ion transport	3
GO:0006820	monoatomic anion transport	3
GO:0006995	cellular response to nitrogen starvation	3
GO:0006999	nuclear pore organization	3
GO:0007029	endoplasmic reticulum organization	3
GO:0007032	endosome organization	3
GO:0007034	vacuolar transport	3
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	3
GO:0007346	regulation of mitotic cell cycle	3
GO:0008202	steroid metabolic process	3
GO:0009051	pentose-phosphate shunt, oxidative branch	3
GO:0009052	pentose-phosphate shunt, non-oxidative branch	3
GO:0009098	L-leucine biosynthetic process	3
GO:0009116	nucleoside metabolic process	3
GO:0009117	nucleotide metabolic process	3
GO:0009234	menaquinone biosynthetic process	3
GO:0009245	lipid A biosynthetic process	3
GO:0009263	deoxyribonucleotide biosynthetic process	3
GO:0009298	GDP-mannose biosynthetic process	3
GO:0009637	response to blue light	3
GO:0009658	chloroplast organization	3
GO:0009873	ethylene-activated signaling pathway	3
GO:0010020	chloroplast fission	3
GO:0010032	meiotic chromosome condensation	3
GO:0010150	leaf senescence	3
GO:0010389	regulation of G2/M transition of mitotic cell cycle	3
GO:0015853	adenine transport	3
GO:0015854	guanine transport	3
GO:0015996	chlorophyll catabolic process	3
GO:0016125	sterol metabolic process	3
GO:0016197	endosomal transport	3
GO:0016559	peroxisome fission	3
GO:0018279	protein N-linked glycosylation via asparagine	3
GO:0019253	reductive pentose-phosphate cycle	3
GO:0019433	triglyceride catabolic process	3
GO:0019685	photosynthesis, dark reaction	3
GO:0019693	ribose phosphate metabolic process	3
GO:0019752	carboxylic acid metabolic process	3
GO:0019985	translesion synthesis	3
GO:0022900	electron transport chain	3
GO:0022904	respiratory electron transport chain	3
GO:0030026	intracellular manganese ion homeostasis	3
GO:0030048	actin filament-based movement	3
GO:0030163	protein catabolic process	3
GO:0030261	chromosome condensation	3
GO:0031120	snRNA pseudouridine synthesis	3
GO:0031573	mitotic intra-S DNA damage checkpoint signaling	3
GO:0032049	cardiolipin biosynthetic process	3
GO:0032447	protein urmylation	3
GO:0032468	Golgi calcium ion homeostasis	3
GO:0032469	endoplasmic reticulum calcium ion homeostasis	3
GO:0032472	Golgi calcium ion transport	3
GO:0032784	regulation of DNA-templated transcription elongation	3
GO:0032786	positive regulation of DNA-templated transcription, elongation	3
GO:0032790	ribosome disassembly	3
GO:0032958	inositol phosphate biosynthetic process	3
GO:0032968	positive regulation of transcription elongation by RNA polymerase II	3
GO:0033355	ascorbate glutathione cycle	3
GO:0033499	galactose catabolic process via UDP-galactose	3
GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	3
GO:0034058	endosomal vesicle fusion	3
GO:0034553	mitochondrial respiratory chain complex II assembly	3
GO:0034605	cellular response to heat	3
GO:0034727	piecemeal microautophagy of the nucleus	3
GO:0034765	regulation of monoatomic ion transmembrane transport	3
GO:0035194	regulatory ncRNA-mediated post-transcriptional gene silencing	3
GO:0035269	protein O-linked mannosylation	3
GO:0035721	intraciliary retrograde transport	3
GO:0036068	light-independent chlorophyll biosynthetic process	3
GO:0042176	regulation of protein catabolic process	3
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	3
GO:0044206	UMP salvage	3
GO:0044255	cellular lipid metabolic process	3
GO:0045036	protein targeting to chloroplast	3
GO:0045037	protein import into chloroplast stroma	3
GO:0045047	protein targeting to ER	3
GO:0045048	protein insertion into ER membrane	3
GO:0045053	protein retention in Golgi apparatus	3
GO:0045727	positive regulation of translation	3
GO:0046168	glycerol-3-phosphate catabolic process	3
GO:0046373	L-arabinose metabolic process	3
GO:0046512	sphingosine biosynthetic process	3
GO:0046656	folic acid biosynthetic process	3
GO:0046785	microtubule polymerization	3
GO:0046856	phosphatidylinositol dephosphorylation	3
GO:0050992	dimethylallyl diphosphate biosynthetic process	3
GO:0051131	chaperone-mediated protein complex assembly	3
GO:0051231	spindle elongation	3
GO:0051453	regulation of intracellular pH	3
GO:0060294	cilium movement involved in cell motility	3
GO:0070189	kynurenine metabolic process	3
GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation	3
GO:0071277	cellular response to calcium ion	3
GO:0080142	regulation of salicylic acid biosynthetic process	3
GO:0080162	endoplasmic reticulum to cytosol auxin transport	3
GO:0090522	vesicle tethering involved in exocytosis	3
GO:0097272	ammonium homeostasis	3
GO:0098719	sodium ion import across plasma membrane	3
GO:0101030	tRNA-guanine transglycosylation	3
GO:0110102	ribulose bisphosphate carboxylase complex assembly	3
GO:0140021	mitochondrial ADP transmembrane transport	3
GO:1901137	carbohydrate derivative biosynthetic process	3
GO:1902975	mitotic DNA replication initiation	3
GO:1990481	mRNA pseudouridine synthesis	3
GO:1990542	mitochondrial transmembrane transport	3
GO:1990544	mitochondrial ATP transmembrane transport	3
GO:1990573	potassium ion import across plasma membrane	3
GO:0000076	DNA replication checkpoint signaling	2
GO:0000244	spliceosomal tri-snRNP complex assembly	2
GO:0000266	mitochondrial fission	2
GO:0000349	generation of catalytic spliceosome for first transesterification step	2
GO:0000379	tRNA-type intron splice site recognition and cleavage	2
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	2
GO:0000395	mRNA 5'-splice site recognition	2
GO:0000422	autophagy of mitochondrion	2
GO:0000719	photoreactive repair	2
GO:0000722	telomere maintenance via recombination	2
GO:0000725	recombinational repair	2
GO:0000956	nuclear-transcribed mRNA catabolic process	2
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	2
GO:0001510	RNA methylation	2
GO:0001578	microtubule bundle formation	2
GO:0001678	intracellular glucose homeostasis	2
GO:0001934	positive regulation of protein phosphorylation	2
GO:0003341	cilium movement	2
GO:0003352	regulation of cilium movement	2
GO:0003400	regulation of COPII vesicle coating	2
GO:0005985	sucrose metabolic process	2
GO:0006007	glucose catabolic process	2
GO:0006012	galactose metabolic process	2
GO:0006013	mannose metabolic process	2
GO:0006024	glycosaminoglycan biosynthetic process	2
GO:0006038	obsolete cell wall chitin biosynthetic process	2
GO:0006065	UDP-glucuronate biosynthetic process	2
GO:0006085	acetyl-CoA biosynthetic process	2
GO:0006152	purine nucleoside catabolic process	2
GO:0006164	purine nucleotide biosynthetic process	2
GO:0006166	purine ribonucleoside salvage	2
GO:0006183	GTP biosynthetic process	2
GO:0006203	dGTP catabolic process	2
GO:0006210	thymine catabolic process	2
GO:0006228	UTP biosynthetic process	2
GO:0006241	CTP biosynthetic process	2
GO:0006271	DNA strand elongation involved in DNA replication	2
GO:0006275	regulation of DNA replication	2
GO:0006283	transcription-coupled nucleotide-excision repair	2
GO:0006301	postreplication repair	2
GO:0006312	mitotic recombination	2
GO:0006346	DNA methylation-dependent heterochromatin formation	2
GO:0006360	transcription by RNA polymerase I	2
GO:0006369	termination of RNA polymerase II transcription	2
GO:0006376	mRNA splice site recognition	2
GO:0006418	tRNA aminoacylation for protein translation	2
GO:0006423	cysteinyl-tRNA aminoacylation	2
GO:0006424	glutamyl-tRNA aminoacylation	2
GO:0006426	glycyl-tRNA aminoacylation	2
GO:0006427	histidyl-tRNA aminoacylation	2
GO:0006428	isoleucyl-tRNA aminoacylation	2
GO:0006429	leucyl-tRNA aminoacylation	2
GO:0006430	lysyl-tRNA aminoacylation	2
GO:0006431	methionyl-tRNA aminoacylation	2
GO:0006433	prolyl-tRNA aminoacylation	2
GO:0006434	seryl-tRNA aminoacylation	2
GO:0006435	threonyl-tRNA aminoacylation	2
GO:0006438	valyl-tRNA aminoacylation	2
GO:0006446	regulation of translational initiation	2
GO:0006450	regulation of translational fidelity	2
GO:0006491	N-glycan processing	2
GO:0006516	glycoprotein catabolic process	2
GO:0006522	alanine metabolic process	2
GO:0006527	arginine catabolic process	2
GO:0006529	asparagine biosynthetic process	2
GO:0006537	glutamate biosynthetic process	2
GO:0006546	glycine catabolic process	2
GO:0006552	L-leucine catabolic process	2
GO:0006556	S-adenosylmethionine biosynthetic process	2
GO:0006572	tyrosine catabolic process	2
